"Position","Team","Foot","Experience","Experience_VFF","Video","Decision","RT"
"Fosvarsspiller","U13","Højre",8,3,"Warmup/Klip_3\Klip_3_1.mp4","highest free man",10.2214066999732
"Fosvarsspiller","U13","Højre",8,3,"Warmup/Klip_2\Klip_2_2.mp4","switch play2",9.41473739990033
"Fosvarsspiller","U13","Højre",8,3,"Warmup/Klip_1\Klip_1_1.mp4","link out",10.7215398000553
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_43\Klip_43_2.mp4","switch play",6.44260509999003
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_7\Klip_7_1.mp4","link out",5.36318680003751
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_16\Klip_16_1.mp4","switch play",17.488507800037
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_59\Klip_59_1.mp4","highest free man2",10.602438599919
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_17\Klip_17_2.mp4","link out",17.7125342999352
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_75\Klip_75_1.mp4","switch play",17.6987795000896
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_92\Klip_92_3.mp4","switch play2",6.53487029997632
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_22\Klip_22_1.mp4","highest free man",10.2851831000298
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_81\Klip_81_4.mp4","pass it over",12.1407815000275
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_71\Klip_71_3.mp4","switch play2",6.60916620003991
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_62\Klip_62_2.mp4","switch play2",4.45080130000133
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_33\Klip_33_1.mp4","link out",14.547544100089
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_36\Klip_36_1.mp4","switch play",4.56230630003847
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_28\Klip_28_3.mp4","switch play2",5.39064819994383
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_93\Klip_93_3.mp4","switch play",6.35712369997054
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_23\Klip_23_2.mp4","switch play",6.69755599997006
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_10\Klip_10_1.mp4","link out",4.06583360000513
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_94\Klip_94_3.mp4","switch play2",3.44800490001217
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_85\Klip_85_4.mp4","pass it over",9.81373999989592
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_64\Klip_64_2.mp4","switch play",7.25547059997916
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_88\Klip_88_4.mp4","false switch play",5.55254050006624
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_89\Klip_89_4.mp4","false switch play",5.76224299997557
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_72\Klip_72_1.mp4","highest free man",2.79315919999499
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_80\Klip_80_3.mp4","false link out2",6.37958640011493
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_27\Klip_27_1.mp4","highest free man",6.94338800001424
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_32\Klip_32_3.mp4","switch play2",11.7926786999451
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_60\Klip_60_3.mp4","false link out",4.44257559999824
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_90\Klip_90_4.mp4","false link out2",3.73450420005247
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_91\Klip_91_3.mp4","pass it over",3.90353299991693
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_73\Klip_73_2.mp4","switch play2",6.53809220006224
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_66\Klip_66_1.mp4","highest free man",2.56518270005472
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_13\Klip_13_1.mp4","highest free man2",1.79802770004608
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_77\Klip_77_2.mp4","link out2",2.02589649998117
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_35\Klip_35_1.mp4","highest free man",2.56421610002872
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_78\Klip_78_1.mp4","switch play ",12.3367468999932
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_30\Klip_30_1.mp4","switch play",3.92458740004804
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_38\Klip_38_1.mp4","false link out",4.85502060002182
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_26\Klip_26_1.mp4","highest free man",1.64807350002229
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_45\Klip_45_3.mp4","false highest free man",8.29041550005786
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_24\Klip_24_2.mp4","switch play",2.57618999993429
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_83\Klip_83_4.mp4","pass it over",7.75536690000445
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_69\Klip_69_2.mp4","false highest free man",3.1034018000355
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_58\Klip_58_3.mp4","switch play2",8.08942289999686
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_14\Klip_14_1.mp4","highest free man",2.15987010009121
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_6\Klip_6_1.mp4","link out2",4.70964540005662
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_84\Klip_84_4.mp4","false switch play",2.38695359998383
"Fosvarsspiller","U13","Højre",8,3,"Pictures/Klip_18\Klip_18_3.mp4","pass it over",4.31116080004722
