"Position","Team","Foot","Experience","Experience_VFF","Video","Decision","RT"
"Fosvarsspiller","U14","Højre",8,3,"Warmup/Klip_1\Klip_1_1.mp4","link out",17.3245278000832
"Fosvarsspiller","U14","Højre",8,3,"Warmup/Klip_2\Klip_2_2.mp4","switch play",13.8046386999777
"Fosvarsspiller","U14","Højre",8,3,"Warmup/Klip_3\Klip_3_1.mp4","highest free man",12.8445446999976
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_26\Klip_26_1.mp4","switch play",14.619289000053
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_13\Klip_13_1.mp4","highest free man2",11.1705787000246
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_43\Klip_43_2.mp4","pass it over",24.4603678999702
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_28\Klip_28_3.mp4","pass it over",6.13844860007521
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_55\Klip_55_2.mp4","link out",28.3850812999299
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_80\Klip_80_3.mp4","switch play2",6.84343580005225
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_30\Klip_30_1.mp4","switch play",2.25595080002677
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_57\Klip_57_2.mp4","link out",20.1146643999964
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_64\Klip_64_2.mp4","pass it over",18.329335300019
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_77\Klip_77_2.mp4","link out2",12.1075844999868
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_32\Klip_32_3.mp4","switch play2",18.206615800038
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_10\Klip_10_1.mp4","link out",4.4304928999627
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_27\Klip_27_1.mp4","highest free man2",19.620145700057
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_78\Klip_78_1.mp4","switch play",7.15262970002368
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_74\Klip_74_1.mp4","highest free man",2.77658169995993
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_22\Klip_22_1.mp4","highest free man",6.87699240003712
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_38\Klip_38_1.mp4","highest free man2",12.4288169000065
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_33\Klip_33_1.mp4","highest free man",5.8722733000759
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_59\Klip_59_1.mp4","highest free man2",4.59745169989765
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_81\Klip_81_4.mp4","pass it over",6.9921200000681
"Fosvarsspiller","U14","Højre",8,3,"Pictures/Klip_69\Klip_69_2.mp4","false highest free man",8.17798909998965
