"Position","Team","Foot","Experience","Experience_VFF","Video","Decision","RT"
"Fosvarsspiller","U17","Højre",9,4,"Warmup/Klip_3\Klip_3_1.mp4","highest free man",12.4143786000786
"Fosvarsspiller","U17","Højre",9,4,"Warmup/Klip_1\Klip_1_1.mp4","highest free man",18.7560593999224
"Fosvarsspiller","U17","Højre",9,4,"Warmup/Klip_2\Klip_2_2.mp4","link out",9.85303220001515
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_66\Klip_66_1.mp4","switch play2",18.8610503999516
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_30\Klip_30_1.mp4","switch play",7.22896640002728
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_22\Klip_22_1.mp4","pass it over",12.7623496000888
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_36\Klip_36_1.mp4","switch play",2.66442560008727
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_77\Klip_77_2.mp4","link out2",7.59391079994384
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_69\Klip_69_2.mp4","false highest free man",4.12799100007396
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_59\Klip_59_1.mp4","highest free man2",2.78993890003767
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_23\Klip_23_2.mp4","switch play",19.6560509999981
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_7\Klip_7_1.mp4","pass it over",6.93071420001797
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_8\Klip_8_2.mp4","false highest free man",9.12807960005011
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_14\Klip_14_1.mp4","switch play2",6.11936929996591
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_85\Klip_85_4.mp4","pass it over",5.33840479992796
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_33\Klip_33_1.mp4","highest free man",9.68881279998459
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_75\Klip_75_1.mp4","false pass it over",4.8006682000123
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_83\Klip_83_4.mp4","pass it over",2.74486439989414
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_92\Klip_92_3.mp4","switch play2",2.22313679999206
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_5\Klip_5_1.mp4","highest free man",12.6666162000038
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_74\Klip_74_1.mp4","highest free man",6.98151379998308
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_93\Klip_93_3.mp4","switch play",3.23226949991658
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_15\Klip_15_1.mp4","pass it over",4.14698730001692
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_39\Klip_39_3.mp4","switch play2",3.52403820003383
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_35\Klip_35_1.mp4","highest free man",1.62447719997726
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_88\Klip_88_4.mp4","false switch play",6.76310849993024
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_12\Klip_12_2.mp4","link out",14.0303669000277
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_89\Klip_89_4.mp4","false switch play",1.91589949990157
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_73\Klip_73_2.mp4","false highest free man",15.7259936999762
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_43\Klip_43_2.mp4","switch play",6.33525550004561
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_18\Klip_18_3.mp4","switch play",7.2315601001028
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_26\Klip_26_1.mp4","false highest free man",3.16646209999453
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_45\Klip_45_3.mp4","false highest free man2",4.15014450007584
