"Position","Team","Foot","Experience","Experience_VFF","Video","Decision","RT"
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_26\Klip_26_1.mp4","highest free man",7.3442914999323
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_6\Klip_6_1.mp4","link out2",10.3051976000424
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_12\Klip_12_2.mp4","link out",9.33988970005885
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_73\Klip_73_2.mp4","switch play2",5.09627510001883
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_18\Klip_18_3.mp4","switch play",20.4415228000144
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_16\Klip_16_1.mp4","highest free man",8.50305000005756
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_66\Klip_66_1.mp4","false link out",12.8930005000439
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_87\Klip_87_3.mp4","false switch play",6.0753829999594
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_24\Klip_24_2.mp4","switch play2",4.21573940000962
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_7\Klip_7_1.mp4","link out",2.46620549994987
