"Position","Team","Foot","Experience","Experience_VFF","Video","Decision","RT"
"Fosvarsspiller","U13","Højre",6,1,"Warmup/Klip_3\Klip_3_1.mp4","highest free man",18.0946740000509
"Fosvarsspiller","U13","Højre",6,1,"Warmup/Klip_2\Klip_2_2.mp4","switch play",7.34519399993587
"Fosvarsspiller","U13","Højre",6,1,"Warmup/Klip_1\Klip_1_1.mp4","false link out",26.2753494998906
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_86\Klip_86_3.mp4","switch play",7.53682680008933
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_24\Klip_24_2.mp4","switch play",4.38307219999842
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_8\Klip_8_2.mp4","link out",11.1023917000275
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_72\Klip_72_1.mp4","switch play",5.82243469997775
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_45\Klip_45_3.mp4","switch play2",11.4661071000155
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_58\Klip_58_3.mp4","switch play2",4.54426230001263
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_14\Klip_14_1.mp4","switch play2",9.31555870000739
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_60\Klip_60_3.mp4","false link out",14.0759098000126
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_12\Klip_12_2.mp4","switch play",14.5935792000964
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_84\Klip_84_4.mp4","false switch play",7.54898869991302
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_32\Klip_32_3.mp4","false highest free man",13.3608394999756
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_71\Klip_71_3.mp4","switch play",14.7032114999602
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_43\Klip_43_2.mp4","switch play",8.85458179994021
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_28\Klip_28_3.mp4","switch play2",8.41683080000803
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_38\Klip_38_1.mp4","highest free man",10.7789363999618
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_57\Klip_57_2.mp4","switch play",7.99007900001016
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_83\Klip_83_4.mp4","false highest free man",3.86633400002029
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_23\Klip_23_2.mp4","switch play",11.1023497000569
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_89\Klip_89_4.mp4","false highest free man",17.6584326000884
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_15\Klip_15_1.mp4","highest free man",6.22728900006041
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_5\Klip_5_1.mp4","highest free man",7.4028889000183
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_75\Klip_75_1.mp4","false pass it over",15.354086700012
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_92\Klip_92_3.mp4","false link out",17.7867187999655
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_62\Klip_62_2.mp4","switch play2",10.0981125000399
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_17\Klip_17_2.mp4","link out",6.30378449999262
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_77\Klip_77_2.mp4","link out2",3.52281520003453
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_91\Klip_91_3.mp4","switch play2",7.7219973000465
"Fosvarsspiller","U13","Højre",6,1,"Pictures/Klip_65\Klip_65_2.mp4","switch play",7.99805629998446
