"Position","Team","Foot","Experience","Experience_VFF","Video","Decision","RT"
"Fosvarsspiller","U19","Højre",14,2,"Warmup/Klip_1\Klip_1_1.mp4","link out",10.6658817999996
"Fosvarsspiller","U19","Højre",14,2,"Warmup/Klip_3\Klip_3_1.mp4","highest free man",16.8566172000137
"Fosvarsspiller","U19","Højre",14,2,"Warmup/Klip_2\Klip_2_2.mp4","switch play2",25.1504177000024
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_94\Klip_94_3.mp4","switch play2",28.5129350000061
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_57\Klip_57_2.mp4","switch play2",11.9359323999961
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_64\Klip_64_2.mp4","pass it over",43.4410324000055
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_81\Klip_81_4.mp4","false link out",49.2461698999978
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_80\Klip_80_3.mp4","switch play2",22.0881013000035
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_22\Klip_22_1.mp4","highest free man",14.8110523999785
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_71\Klip_71_3.mp4","switch play2",20.5868064000388
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_8\Klip_8_2.mp4","link out",19.4673248999752
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_23\Klip_23_2.mp4","link out",13.7506876999978
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_14\Klip_14_1.mp4","switch play2",9.3503791000112
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_59\Klip_59_1.mp4","highest free man2",7.06018329999642
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_82\Klip_82_4.mp4","pass it over",19.6844639999908
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_84\Klip_84_4.mp4","false switch play",21.7306976000546
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_7\Klip_7_1.mp4","link out",6.41543930000626
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_75\Klip_75_1.mp4","highest free man",5.14400349999778
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_28\Klip_28_3.mp4","switch play2",19.8114193000365
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_58\Klip_58_3.mp4","switch play2",6.22170380002353
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_62\Klip_62_2.mp4","switch play2",10.604868400027
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_88\Klip_88_4.mp4","false switch play",17.2919589999365
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_60\Klip_60_3.mp4","switch play2",14.4793391999556
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_16\Klip_16_1.mp4","false highest free man",32.2754441000288
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_36\Klip_36_1.mp4","switch play",5.3201006000163
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_33\Klip_33_1.mp4","highest free man",3.82772800000384
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_73\Klip_73_2.mp4","switch play",5.64717410004232
"Fosvarsspiller","U19","Højre",14,2,"Pictures/Klip_32\Klip_32_3.mp4","switch play2",11.8855257000541
