"Position","Team","Foot","Experience","Experience_VFF","Video","Decision","RT"
"Fosvarsspiller","U17","Højre",9,4,"Warmup/Klip_2\Klip_2_2.mp4","pass it over",12.5974291000748
"Fosvarsspiller","U17","Højre",9,4,"Warmup/Klip_1\Klip_1_1.mp4","highest free man",14.3267868999392
"Fosvarsspiller","U17","Højre",9,4,"Warmup/Klip_3\Klip_3_1.mp4","highest free man",10.345915599959
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_16\Klip_16_1.mp4","switch play",6.77146560000256
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_93\Klip_93_3.mp4","false highest free man2",19.0930373000447
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_69\Klip_69_2.mp4","link out",11.2081304000458
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_14\Klip_14_1.mp4","switch play2",23.2633519000374
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_58\Klip_58_3.mp4","switch play2",7.70704899996053
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_74\Klip_74_1.mp4","pass it over",17.4429231999675
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_7\Klip_7_1.mp4","link out",4.96896540001035
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_86\Klip_86_3.mp4","switch play",9.6096036999952
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_64\Klip_64_2.mp4","link out",34.6452753000194
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_88\Klip_88_4.mp4","false switch play",12.8113665999845
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_23\Klip_23_2.mp4","switch play",17.2632371999789
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_78\Klip_78_1.mp4","pass it over",56.0404353999766
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_72\Klip_72_1.mp4","highest free man2",15.3829426999437
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_10\Klip_10_1.mp4","link out",7.59041930001695
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_87\Klip_87_3.mp4","switch play",14.9403050000547
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_24\Klip_24_2.mp4","switch play2",20.8917708999943
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_80\Klip_80_3.mp4","switch play2",16.3808241999941
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_70\Klip_70_1.mp4","highest free man",4.68867960001808
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_8\Klip_8_2.mp4","link out",15.1491821000818
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_21\Klip_21_2.mp4","false highest free man",17.3879519000184
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_12\Klip_12_2.mp4","switch play",12.149629099993
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_22\Klip_22_1.mp4","highest free man",11.1589891000185
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_18\Klip_18_3.mp4","switch play",24.1793280000566
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_6\Klip_6_1.mp4","link out",21.0584560999414
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_30\Klip_30_1.mp4","switch play",6.20162469998468
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_35\Klip_35_1.mp4","highest free man",5.77482319995761
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_15\Klip_15_1.mp4","pass it over",21.0330713000149
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_55\Klip_55_2.mp4","pass it over",33.7727365000173
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_77\Klip_77_2.mp4","link out2",11.1337346000364
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_84\Klip_84_4.mp4","false switch play",15.1097890000092
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_13\Klip_13_1.mp4","highest free man",8.01218220009468
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_38\Klip_38_1.mp4","highest free man",4.43897940008901
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_5\Klip_5_1.mp4","switch play",26.3591353000375
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_27\Klip_27_1.mp4","highest free man2",15.199765300029
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_81\Klip_81_4.mp4","pass it over",27.3777790999738
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_33\Klip_33_1.mp4","highest free man",13.9239958000835
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_43\Klip_43_2.mp4","switch play",15.1861784999492
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_60\Klip_60_3.mp4","switch play",16.9227139999857
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_39\Klip_39_3.mp4","switch play",14.8552912999876
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_73\Klip_73_2.mp4","switch play",6.3240330000408
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_90\Klip_90_4.mp4","pass it over",25.1973903999897
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_36\Klip_36_1.mp4","switch play",7.54448350006714
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_82\Klip_82_4.mp4","false link out",8.44478200003505
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_85\Klip_85_4.mp4","pass it over",5.04524579993449
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_92\Klip_92_3.mp4","false link out",15.0744320000522
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_91\Klip_91_3.mp4","false link out",17.4166370999301
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_65\Klip_65_2.mp4","switch play",10.57550669997
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_59\Klip_59_1.mp4","highest free man2",7.4585209999932
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_66\Klip_66_1.mp4","highest free man",17.8174178999616
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_28\Klip_28_3.mp4","switch play",3.81393760000356
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_45\Klip_45_3.mp4","switch play2",7.23557919997256
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_57\Klip_57_2.mp4","switch play2",10.7932845000178
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_75\Klip_75_1.mp4","false pass it over",5.77366780000739
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_26\Klip_26_1.mp4","highest free man",4.42715969996061
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_83\Klip_83_4.mp4","pass it over",5.21335169998929
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_32\Klip_32_3.mp4","false highest free man",21.7399696999928
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_89\Klip_89_4.mp4","pass it over",14.3517252999591
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_62\Klip_62_2.mp4","switch play",3.13501169998199
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_94\Klip_94_3.mp4","switch play",13.4967082999647
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_71\Klip_71_3.mp4","switch play",13.7017740000738
"Fosvarsspiller","U17","Højre",9,4,"Pictures/Klip_17\Klip_17_2.mp4","link out",6.63930609996896
