"Position","Team","Foot","Experience","Experience_VFF","Video","Decision","RT"
"Fosvarsspiller","U19","Venstre",14,2,"Warmup/Klip_2\Klip_2_2.mp4","switch play",4.63069890008774
"Fosvarsspiller","U19","Venstre",14,2,"Warmup/Klip_1\Klip_1_1.mp4","link out",3.74604769994039
"Fosvarsspiller","U19","Venstre",14,2,"Warmup/Klip_3\Klip_3_1.mp4","highest free man",6.88949980004691
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_86\Klip_86_3.mp4","switch play",6.41026770009194
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_77\Klip_77_2.mp4","link out2",12.4034865000285
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_94\Klip_94_3.mp4","switch play",12.4648653999902
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_5\Klip_5_1.mp4","highest free man",11.8550815000199
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_7\Klip_7_1.mp4","link out",2.86028669995721
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_15\Klip_15_1.mp4","pass it over",4.05229779996444
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_26\Klip_26_1.mp4","highest free man",3.38267299998552
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_85\Klip_85_4.mp4","pass it over",4.32865180005319
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_43\Klip_43_2.mp4","switch play",2.80085490003694
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_33\Klip_33_1.mp4","link out2",1.49458469997626
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_57\Klip_57_2.mp4","switch play2",9.26838280004449
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_30\Klip_30_1.mp4","switch play",5.16102160001174
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_70\Klip_70_1.mp4","highest free man",3.61099920002744
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_36\Klip_36_1.mp4","switch play",3.66624839999713
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_71\Klip_71_3.mp4","switch play",3.34321190009359
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_59\Klip_59_1.mp4","highest free man2",3.01981179998256
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_80\Klip_80_3.mp4","switch play2",2.99630179989617
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_87\Klip_87_3.mp4","false switch play",4.20750589994714
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_88\Klip_88_4.mp4","false switch play",3.95802539994475
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_90\Klip_90_4.mp4","pass it over",3.86436829995364
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_18\Klip_18_3.mp4","switch play",6.33856349997222
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_60\Klip_60_3.mp4","switch play",8.64207649999298
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_24\Klip_24_2.mp4","switch play2",7.92954599997029
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_8\Klip_8_2.mp4","switch play",5.02774940000381
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_28\Klip_28_3.mp4","switch play2",7.80998930009082
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_65\Klip_65_2.mp4","switch play",4.68877590005286
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_84\Klip_84_4.mp4","pass it over",7.46122559998184
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_92\Klip_92_3.mp4","false link out",3.17588480003178
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_93\Klip_93_3.mp4","switch play",2.58598940004595
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_10\Klip_10_1.mp4","link out",1.72361690003891
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_81\Klip_81_4.mp4","pass it over",2.24756639997941
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_62\Klip_62_2.mp4","switch play2",2.95561980002094
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_14\Klip_14_1.mp4","switch play2",3.22089509991929
"Fosvarsspiller","U19","Venstre",14,2,"Pictures/Klip_83\Klip_83_4.mp4","pass it over",1.28920150001068
