"Position","Team","Foot","Experience","Experience_VFF","Video","Decision","RT"
"Fosvarsspiller","U17","Venstre",11,1,"Warmup/Klip_2\Klip_2_2.mp4","switch play",14.75069539994
"Fosvarsspiller","U17","Venstre",11,1,"Warmup/Klip_3\Klip_3_1.mp4","highest free man",17.6465052999556
"Fosvarsspiller","U17","Venstre",11,1,"Warmup/Klip_1\Klip_1_1.mp4","link out",17.3609027999919
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_91\Klip_91_3.mp4","switch play2",13.4593162999954
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_30\Klip_30_1.mp4","switch play",3.07531650003511
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_55\Klip_55_2.mp4","link out",16.7370479000965
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_93\Klip_93_3.mp4","switch play",1.80935210001189
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_83\Klip_83_4.mp4","false highest free man",2.88145430001896
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_23\Klip_23_2.mp4","switch play2",1.42987929994706
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_22\Klip_22_1.mp4","highest free man",3.88652529998217
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_77\Klip_77_2.mp4","link out2",3.42825220001396
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_13\Klip_13_1.mp4","highest free man2",1.62713689997327
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_21\Klip_21_2.mp4","switch play",10.6782117999392
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_75\Klip_75_1.mp4","highest free man",2.74615150003228
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_43\Klip_43_2.mp4","link out",2.5613739999244
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_80\Klip_80_3.mp4","switch play2",10.6863469000673
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_82\Klip_82_4.mp4","pass it over",10.7749160999665
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_14\Klip_14_1.mp4","switch play",2.09256729995832
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_65\Klip_65_2.mp4","link out",4.71796089992858
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_24\Klip_24_2.mp4","switch play2",2.96036939998157
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_39\Klip_39_3.mp4","switch play",4.67278229992371
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_59\Klip_59_1.mp4","highest free man2",3.19173469999805
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_84\Klip_84_4.mp4","false switch play",19.2472413000651
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_27\Klip_27_1.mp4","highest free man",9.48455639998429
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_12\Klip_12_2.mp4","link out",2.91066309995949
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_16\Klip_16_1.mp4","switch play",3.4129192000255
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_38\Klip_38_1.mp4","switch play",6.92478390003089
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_72\Klip_72_1.mp4","highest free man",4.91053240001202
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_90\Klip_90_4.mp4","false switch play",2.52032159990631
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_45\Klip_45_3.mp4","switch play2",4.58237199997529
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_6\Klip_6_1.mp4","switch play",8.57807399996091
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_5\Klip_5_1.mp4","switch play2",5.57522669993341
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_15\Klip_15_1.mp4","highest free man",8.72857000003569
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_92\Klip_92_3.mp4","switch play",6.32388260005973
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_17\Klip_17_2.mp4","link out",2.21165269997437
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_62\Klip_62_2.mp4","switch play",5.01652350008953
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_28\Klip_28_3.mp4","switch play2",1.75009169999976
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_8\Klip_8_2.mp4","link out",3.47137060004752
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_85\Klip_85_4.mp4","false switch play2 ",2.968222699943
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_74\Klip_74_1.mp4","highest free man",2.04042719991412
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_86\Klip_86_3.mp4","switch play",4.51820930000395
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_87\Klip_87_3.mp4","switch play",2.97481420007534
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_89\Klip_89_4.mp4","pass it over",5.65626419999171
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_36\Klip_36_1.mp4","switch play",2.83163330005482
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_66\Klip_66_1.mp4","highest free man",0.942429800052196
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_94\Klip_94_3.mp4","false highest free man",4.0229811000172
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_32\Klip_32_3.mp4","switch play2",2.40562340000179
"Fosvarsspiller","U17","Venstre",11,1,"Pictures/Klip_69\Klip_69_2.mp4","switch play ",12.4045965999831
